"twitter","id","name","age","gender","party","type","state","joined","days","tweets","followers","following"
NA,"A000368","Kelly Ayotte",46,"F","Republican","sen","NH",NA,NA,NA,NA,NA
NA,"B001245","Madeleine Bordallo",81,"F","Democrat","rep","GU",NA,NA,NA,NA,NA
NA,"C001037","Michael Capuano",62,"M","Democrat","rep","MA",NA,NA,NA,NA,NA
NA,"C001049","Wm. Clay",57,"M","Democrat","rep","MO",NA,NA,NA,NA,NA
NA,"C001075","Bill Cassidy",56,"M","Republican","rep","LA",NA,NA,NA,NA,NA
NA,"D000604","Charles Dent",54,"M","Republican","rep","PA",NA,NA,NA,NA,NA
NA,"F000457","Alan Franken",63,"M","Democrat","sen","MN",NA,NA,NA,NA,NA
NA,"G000546","Sam Graves",50,"M","Republican","rep","MO",NA,NA,NA,NA,NA
NA,"G000555","Kirsten Gillibrand",47,"F","Democrat","sen","NY",NA,NA,NA,NA,NA
NA,"H001032","Rush Holt",65,"M","Democrat","rep","NJ",NA,NA,NA,NA,NA
NA,"K000367","Amy Klobuchar",54,"F","Democrat","sen","MN",NA,NA,NA,NA,NA
NA,"M000689","John Mica",71,"M","Republican","rep","FL",NA,NA,NA,NA,NA
NA,"M001144","Jeff Miller",55,"M","Republican","rep","FL",NA,NA,NA,NA,NA
NA,"P000265","Thomas Petri",74,"M","Republican","rep","WI",NA,NA,NA,NA,NA
NA,"R000011","Nick Rahall",65,"M","Democrat","rep","WV",NA,NA,NA,NA,NA
NA,"S001162","Allyson Schwartz",65,"F","Democrat","rep","PA",NA,NA,NA,NA,NA
NA,"S001177","Gregorio Sablan",59,"M","Democrat","rep","MP",NA,NA,NA,NA,NA
NA,"V000127","David Vitter",53,"M","Republican","sen","LA",NA,NA,NA,NA,NA
NA,"W000795","Joe Wilson",66,"M","Republican","rep","SC",NA,NA,NA,NA,NA
NA,"W000810","Rob Woodall",44,"M","Republican","rep","GA",NA,NA,NA,NA,NA
"AnderCrenshaw","C001045","Ander Crenshaw",69,"M","Republican","rep","FL","2009-02-06 01:48:11",1977,697,7778,198
"AskGeorge","M000725","George Miller",69,"M","Democrat","rep","CA","2007-07-09 22:04:23",2555,2378,12162,656
"AustinScottGA08","S001189","Austin Scott",44,"M","Republican","rep","GA","2011-01-06 16:01:46",1278,1270,6862,321
"BachusAL06","B000013","Spencer Bachus",66,"M","Republican","rep","AL","2009-09-29 22:15:34",1742,497,8130,2
"BennieGThompson","T000193","Bennie Thompson",66,"M","Democrat","rep","MS","2009-10-14 20:47:03",1727,306,4042,389
"BettyMcCollum04","M001143","Betty McCollum",60,"F","Democrat","rep","MN","2012-03-06 20:52:11",853,2277,5076,760
"BillOwensNY","O000169","William Owens",65,"M","Democrat","rep","NY","2010-12-15 21:49:24",1300,1891,4308,884
"BillPascrell","P000096","Bill Pascrell",77,"M","Democrat","rep","NJ","2009-09-15 17:54:32",1756,752,3698,0
"BlumenauerMedia","B000574","Earl Blumenauer",65,"M","Democrat","rep","OR","2010-04-27 21:48:06",1532,352,2656,251
"BobLatta","L000566","Robert Latta",58,"M","Republican","rep","OH","2008-07-11 18:33:24",2187,4325,13816,5400
"BradSherman","S000344","Brad Sherman",59,"M","Democrat","rep","CA","2009-04-10 13:38:03",1914,431,6395,97
"BruceBraley","B001259","Bruce Braley",56,"M","Democrat","rep","IA","2009-04-06 21:08:54",1918,5343,16274,10997
"BuckMcKeon","M000508","Howard McKeon",75,"M","Republican","rep","CA","2008-09-18 15:56:59",2118,1372,13025,5147
"CBRangel","R000053","Charles Rangel",84,"M","Democrat","rep","NY","2009-02-19 16:17:10",1964,3546,19201,3880
"Call_Me_Dutch","R000576","C. Ruppersberger",68,"M","Democrat","rep","MD","2011-05-26 14:39:08",1138,1371,4323,1082
"CandiceMiller","M001150","Candice Miller",60,"F","Republican","rep","MI","2008-06-30 19:41:17",2198,517,8649,406
"CantwellPress","C000127","Maria Cantwell",55,"F","Democrat","sen","WA","2010-02-25 19:21:52",1593,867,10143,0
"CathyMcMorris","M001159","Cathy McMorris Rodgers",45,"F","Republican","rep","WA","2008-12-08 23:17:15",2037,3443,21435,5134
"ChakaFattah","F000043","Chaka Fattah",57,"M","Democrat","rep","PA","2009-06-17 19:39:50",1846,8676,9652,1267
"ChelliePingree","P000597","Chellie Pingree",59,"F","Democrat","rep","ME","2008-06-02 20:29:56",2226,1198,10502,339
"ChrisMurphyCT","M001169","Christopher Murphy",40,"M","Democrat","sen","CT","2010-05-31 01:22:43",1498,4264,21733,114
"ChrisVanHollen","V000128","Chris Van Hollen",55,"M","Democrat","rep","MD","2008-12-15 15:00:29",2030,953,19402,2351
"ChuckGrassley","G000386","Charles Grassley",80,"M","Republican","sen","IA","2007-11-26 15:17:02",2415,3134,76947,14693
"ChuckSchumer","S000148","Charles Schumer",63,"M","Democrat","sen","NY","2013-09-16 21:08:18",294,84,1543,0
"Clyburn","C000537","James Clyburn",74,"M","Democrat","rep","SC","2010-09-07 18:50:22",1399,782,23602,1028
"ConawayTX11","C001062","K. Conaway",66,"M","Republican","rep","TX","2011-05-09 13:56:50",1155,564,4024,1433
"CongBillPosey","P000599","Bill Posey",66,"M","Republican","rep","FL","2009-03-18 15:05:42",1937,1094,8134,930
"CongCulberson","C001048","John Culberson",57,"M","Republican","rep","TX","2009-03-13 14:54:29",1942,1002,6075,563
"CongHuelskamp","H001057","Tim Huelskamp",45,"M","Republican","rep","KS","2011-01-04 01:43:06",1280,4221,10474,2142
"CongMikeSimpson","S001148","Michael Simpson",63,"M","Republican","rep","ID","2009-09-21 20:26:26",1750,280,3119,64
"CongPalazzo","P000601","Steven Palazzo",44,"M","Republican","rep","MS","2011-05-16 20:52:25",1148,1180,5512,1600
"CongressmanDan","B001271","Dan Benishek",62,"M","Republican","rep","MI","2011-01-25 14:54:16",1259,287,8746,7603
"CongressmanGT","T000467","Glenn Thompson",54,"M","Republican","rep","PA","2009-01-14 04:54:58",2000,3362,8979,391
"CongressmanRuiz","R000599","Raul Ruiz",41,"M","Democrat","rep","CA","2013-01-14 18:58:43",539,148,1952,1
"CynthiaLummis","L000571","Cynthia Lummis",59,"F","Republican","rep","WY","2009-03-04 20:44:59",1951,1196,9639,6177
"DarrellIssa","I000056","Darrell Issa",60,"M","Republican","rep","CA","2009-03-02 17:39:00",1953,17590,161109,37875
"DaveLoebsack","L000565","David Loebsack",61,"M","Democrat","rep","IA","2012-03-01 16:52:06",858,312,2122,519
"DaveReichert","R000578","David Reichert",63,"M","Republican","rep","WA","2008-09-02 20:12:26",2134,1603,9087,3060
"DelegateDonna","C000380","Donna Christensen",68,"F","Democrat","rep","VI","2011-03-10 20:02:19",1215,986,5318,244
"DesJarlaisTN04","D000616","Scott DesJarlais",50,"M","Republican","rep","TN","2011-01-07 21:47:44",1277,2136,6468,1121
"DocHastings","H000329","Doc Hastings",73,"M","Republican","rep","WA","2011-10-31 12:59:01",980,810,3589,651
"DorisMatsui","M001163","Doris Matsui",69,"F","Democrat","rep","CA","2009-05-06 19:20:50",1888,1023,8668,6237
"DrPhilRoe","R000582","David Roe",69,"M","Republican","rep","TN","2009-06-30 20:07:34",1833,1413,8115,204
"EFaleomavaega","F000010","Eni Faleomavaega",70,"M","Democrat","rep","AS","2013-07-08 14:57:54",364,0,82,0
"EleanorNorton","N000147","Eleanor Norton",77,"F","Democrat","rep","DC","2009-03-10 14:47:46",1945,1129,12531,161
"Farenthold","F000460","Blake Farenthold",52,"M","Republican","rep","TX","2008-12-05 12:32:52",2040,3471,6631,863
"FrankPallone","P000034","Frank Pallone",62,"M","Democrat","rep","NJ","2009-04-16 13:51:56",1908,5273,12813,520
"GKButterfield","B001251","George Butterfield",67,"M","Democrat","rep","NC","2011-12-09 17:17:22",941,816,3714,302
"GOPLeader","C001046","Eric Cantor",51,"M","Republican","rep","VA","2009-01-12 04:57:20",2002,7467,225487,8908
"GOPWhip","M001165","Kevin McCarthy",49,"M","Republican","rep","CA","2009-01-29 22:28:48",1985,4667,50481,1204
"GerryConnolly","C001078","Gerald Connolly",64,"M","Democrat","rep","VA","2009-09-29 23:17:33",1742,2819,6786,190
"GraceNapolitano","N000179","Grace Napolitano",77,"F","Democrat","rep","CA","2010-06-30 19:48:06",1468,856,6728,223
"GrahamBlog","G000359","Lindsey Graham",59,"M","Republican","sen","SC","2008-05-20 13:57:21",2239,3379,62456,2195
"GreggHarper","H001045","Gregg Harper",58,"M","Republican","rep","MS","2009-03-11 03:02:52",1944,2049,10770,378
"GregoryMeeks","M001137","Gregory Meeks",60,"M","Democrat","rep","NY","2009-03-04 18:36:27",1951,1275,8687,414
"HerreraBeutler","H001056","Jaime Herrera Beutler",35,"F","Republican","rep","WA","2011-01-25 22:36:44",1259,184,5642,1111
"HowardCoble","C000556","Howard Coble",83,"M","Republican","rep","NC","2011-06-10 02:48:54",1123,654,3870,461
"InhofePress","I000024","James Inhofe",79,"M","Republican","sen","OK","2009-02-10 21:12:51",1973,4892,10315,1376
"JAHimes","H001047","James Himes",48,"M","Democrat","rep","CT","2009-04-16 02:38:33",1908,4739,13552,650
"JackKingston","K000220","Jack Kingston",59,"M","Republican","rep","GA","2009-04-30 12:52:55",1894,1593,11359,483
"JacksonLeeTX18","J000032","Sheila Jackson Lee",64,"F","Democrat","rep","TX","2009-10-07 16:13:13",1734,1835,12370,1210
"JanSchakowsky","S001145","Janice Schakowsky",70,"F","Democrat","rep","IL","2009-03-13 16:03:17",1942,1984,14467,817
"JaredPolis","P000598","Jared Polis",39,"M","Democrat","rep","CO","2008-07-09 03:04:04",2189,3339,28325,2902
"JasonInTheHouse","C001076","Jason Chaffetz",47,"M","Republican","rep","UT","2008-12-02 04:59:53",2043,4803,72417,21433
"JeffFlake","F000444","Jeff Flake",51,"M","Republican","sen","AZ","2008-08-30 17:00:58",2137,914,23747,202
"JeffFortenberry","F000449","Jeff Fortenberry",53,"M","Republican","rep","NE","2009-01-09 16:14:19",2005,1298,9432,2145
"JerryMoran","M000934","Jerry Moran",60,"M","Republican","sen","KS","2009-01-05 14:25:22",2009,2611,16338,2725
"JimGerlach","G000549","Jim Gerlach",59,"M","Republican","rep","PA","2009-05-18 20:04:27",1876,669,8096,201
"JimLangevin","L000559","James Langevin",50,"M","Democrat","rep","RI","2009-01-12 18:36:58",2002,2166,8640,2138
"JimPressOffice","S000244","F. Sensenbrenner",71,"M","Republican","rep","WI","2012-09-28 19:31:33",647,161,1502,240
"Jim_Jordan","J000289","Jim Jordan",50,"M","Republican","rep","OH","2008-12-16 17:20:24",2029,829,17957,5169
"Jim_Moran","M000933","James Moran",69,"M","Democrat","rep","VA","2009-06-15 19:00:16",1848,1561,10994,237
"JoaquinCastrotx","C001091","Joaquin Castro",39,"M","Democrat","rep","TX","2010-12-28 18:41:02",1287,3212,20793,546
"JohnBoozman","B001236","John Boozman",63,"M","Republican","sen","AR","2007-04-27 16:05:52",2628,1352,20104,482
"JohnCarneyde","C001083","John Carney",58,"M","Democrat","rep","DE","2011-01-13 15:58:13",1271,1272,6726,1017
"JohnCornyn","C001056","John Cornyn",62,"M","Republican","sen","TX","2008-02-07 19:52:55",2342,13350,58693,9072
"John_Dingell","D000355","John Dingell",88,"M","Democrat","rep","MI","2010-01-27 18:53:50",1622,2545,11040,2184
"JudgeCarter","C001051","John Carter",72,"M","Republican","rep","TX","2008-12-10 21:00:58",2035,3677,10310,3027
"JudgeTedPoe","P000592","Ted Poe",65,"M","Republican","rep","TX","2009-09-14 16:40:24",1757,2203,11711,474
"JuliaBrownley26","B001285","Julia Brownley",61,"F","Democrat","rep","CA","2013-03-05 14:51:28",489,432,1390,409
"KeithEllison","E000288","Keith Ellison",50,"M","Democrat","rep","MN","2008-03-12 21:38:12",2308,8132,55040,2707
"KeithRothfus","R000598","Keith Rothfus",52,"M","Republican","rep","PA","2013-02-06 21:51:36",516,2046,1986,478
"KenCalvert","C000059","Ken Calvert",61,"M","Republican","rep","CA","2009-03-02 22:30:20",1953,2197,4629,228
"LEETERRYNE","T000459","Lee Terry",52,"M","Republican","rep","NE","2008-12-22 21:14:05",2023,3538,8634,563
"LamarSmithTX21","S000583","Lamar Smith",66,"M","Republican","rep","TX","2008-08-14 21:53:40",2153,843,12129,3531
"LisaMurkowski","M001153","Lisa Murkowski",57,"F","Republican","sen","AK","2008-12-11 21:55:19",2034,2184,25160,347
"LorettaSanchez","S000030","Loretta Sanchez",54,"F","Democrat","rep","CA","2010-01-25 19:08:10",1624,1729,14755,14628
"LouiseSlaughter","S000480","Louise Slaughter",84,"F","Democrat","rep","NY","2009-08-05 15:53:07",1797,1484,9439,646
"LuisGutierrez","G000535","Luis Gutiérrez",60,"M","Democrat","rep","IL","2011-06-22 14:11:23",1111,13,184,22
"MacTXPress","T000238","Mac Thornberry",56,"M","Republican","rep","TX","2011-09-21 18:42:06",1020,299,2758,974
"MarioDB","D000600","Mario Diaz-Balart",52,"M","Republican","rep","FL","2009-05-02 00:52:48",1892,1977,13789,152
"MarkAmodeiNV2","A000369","Mark Amodei",56,"M","Republican","rep","NV","2011-11-01 13:43:55",979,723,4221,1691
"MarkUdall","U000038","Mark Udall",64,"M","Democrat","sen","CO","2007-08-11 19:18:18",2522,3714,30878,217
"MarkWarner","W000805","Mark Warner",59,"M","Democrat","sen","VA","2007-07-12 14:03:33",2552,3588,47990,11029
"MarkeyMemo","M000133","Edward Markey",68,"M","Democrat","sen","MA","2009-02-20 15:49:29",1963,3517,21047,91
"MarshaBlackburn","B001243","Marsha Blackburn",62,"F","Republican","rep","TN","2011-04-06 18:05:33",1188,2431,14870,2293
"MartinHeinrich","H001046","Martin Heinrich",42,"M","Democrat","sen","NM","2013-01-17 20:24:19",536,759,4708,10
"MaxineWaters","W000187","Maxine Waters",75,"F","Democrat","rep","CA","2009-04-30 15:17:45",1894,1170,22847,860
"MazieHirono","H001042","Mazie Hirono",66,"F","Democrat","sen","HI","2009-11-24 03:10:37",1686,3280,11898,1176
"McCaskillOffice","M001170","Claire McCaskill",60,"F","Democrat","sen","MO","2009-07-15 16:40:06",1818,2572,5547,1428
"McCaulPressShop","M001157","Michael McCaul",52,"M","Republican","rep","TX","2009-03-25 03:54:11",1930,850,6905,196
"McConnellPress","M000355","Mitch McConnell",72,"M","Republican","sen","KY","2011-07-21 18:25:30",1082,4962,36151,252
